¿Cómo le resulto la ejecución del Programa ?;Pude ejecutar todas las funciones sin necesidad de ayuda;Tuve que recurrir a la Documentación para recibir ayuda;No pude ejecutar algunas funciones aun consultando la documentación
¿Tuvo inconvenientes al consultar información en la sección “Informes”?;No, no ha habido ningún problema;Solo alguna vez tuve problema con una consulta sobre los Pacientes/Médicos;Más de una vez percibí errores de información
¿Qué le pareció la sección “Ingreso de Datos”?;Se me han requerido todos los datos necesarios y los pude ingresar correctamente.;Pude ingresar los datos correctamente, pero algunos datos que consideraba necesarios no pude hacerlo;No pude ingresar los datos correctamente
¿Cómo respondió el Programa a los fallos?;El programa nunca tuvo fallos;El programa se recuperó rápido y fácil de los fallos;Cuando hay una falla tengo que cerrar el programa y pierdo parte de la información
¿Cuántas veces el programa dejó de Funcionar?;Nunca;1 vez;Más de una vez
¿Alguna vez ha perdido información previamente ingresada?;Nunca;1 vez;Mas de una vez
¿Qué le pareció el Menú de Inicio?;La organización de los menús parece bastante lógica.;Tuve confusiones, pero pude recurrir a la Documentación;La distribución del menú es muy confusa
¿Cómo le resultaron los pasos para el Ingreso de Datos?;El ingreso de datos resultó sencillo y en muy pocos pasos;Resultó un poco largo el tiempo empleado para el ingreso de Datos;Se requerían muchos pasos para el ingreso de Datos
¿Se le presentaron problemas de velocidad?;No, el programa funcionó con fluidez todo el tiempo;Se presentaron algunos problemas;El programa anduvo muy lento
¿Cómo le resultaron los tiempos cuando tuvo que consultar muchos registros al mismo tiempo?;Igual que cuando consulto pocos registros, responde rápido;El programa tarda un poco más en responder consultas grandes;Cuando hago consultas grandes el programa tarda mucho tiempo
¿Cómo le resulto la Instalación del programa?;La instalación es muy intuitiva;La instalación tiene partes complicadas y tuve que requerir a la Documentación;La instalación fue muy difícil
¿Cómo respondió el Programa al instalarlo en otro Sistema Operativo?;Lo instalé en más de 2 sistemas y respondió siempre bien;Lo instalé en otro sistema operativo y respondió bien;No pude instalarlo en otro sistema operativo o funcionó mal
